nombre,pais,provincia,departamento,canthab
10 De Agosto,Argentina,6,Lincoln,
11 de Septiembre,Argentina,6,Tres De Febrero,4355
12 De Octubre,Argentina,6,9 De Julio,254
16 De Julio,Argentina,6,Azul,151
17 De Agosto,Argentina,6,Puán,362
1º De Mayo,Argentina,54,Cainguás,404
1º De Mayo,Argentina,30,Uruguay,533
20 de Junio,Argentina,6,La Matanza,1597
20 De Septiembre,Argentina,30,Nogoyá,183
23 De Agosto,Argentina,38,Ledesma,
25 De Mayo,Argentina,6,25 De Mayo,22581
25 De Mayo,Argentina,54,25 De Mayo,2374
25 De Mayo,Argentina,86,Choya,
25 De Mayo,Argentina,54,Leandro N. Alem,
25 De Mayo,Argentina,86,Moreno,
25 De Mayo,Argentina,42,Puelén,5953
25 De Mayo,Argentina,50,San Rafael,1585
28 De Julio,Argentina,26,Gaiman,109
28 De Noviembre,Argentina,78,Güer Aike,4686
2º Simbolar,Argentina,86,Pellegrini,
3 De Abril,Argentina,18,San Luis Del Palmar,
30 De Agosto,Argentina,6,Trenque Lauquen,4204
4 De Febrero,Argentina,82,General López,
4 de Noviembre,Argentina,6,Rojas,
4 Mojones,Argentina,22,Libertador General San Martín,
5 De Abril,Argentina,14,San Alberto,
7 Arboles,Argentina,86,Jiménez,
7 de Abril,Argentina,90,Burruyacú,439
9 de Abril,Argentina,6,Esteban Echeverría,40656
9 De Julio,Argentina,6,9 De Julio,34350
9 De Julio,Argentina,22,Almirante Brown,
9 De Julio,Argentina,54,Eldorado,410
9 De Julio,Argentina,74,Libertador General San Martín,
9 De Julio,Argentina,86,Ojo De Agua,
9 De Julio,Argentina,18,San Roque,1903
9 De Julio Km 20,Argentina,54,Eldorado,1224
Aarón Castellanos,Argentina,82,General López,313
Abasto,Argentina,6,La Plata,457
Abbott,Argentina,6,San Miguel del Monte,603
Abdón Castro Tolay,Argentina,38,Cochinoca,229
Abra De Tipira,Argentina,86,Guasayán,
Abra De Tres Cruces,Argentina,38,Humahuaca,
Abra Delgada,Argentina,66,Iruya,
Abra Grande,Argentina,86,Banda,139
Abra Grande,Argentina,66,Orán,
Abra Linda,Argentina,46,Rosario Vera Peñaloza,
Abra Navarro,Argentina,66,Los Andes,
Abra Pampa,Argentina,38,Cochinoca,7496
Abra Pindo,Argentina,34,Pirané,
Abra Verde,Argentina,46,Rosario Vera Peñaloza,
Abramo,Argentina,42,Hucal,323
Abras Coloradas,Argentina,10,Santa María,
Abrita Chica,Argentina,86,Río Hondo,
Abrita Del Medio,Argentina,86,Río Hondo,
Abrita Grande,Argentina,86,Río Hondo,
Acambuco,Argentina,66,General José De San Martín,
Acassuso,Argentina,6,San Isidro,12842
Acébal,Argentina,82,Rosario,4627
Acequiones,Argentina,90,Trancas,
Acevedo,Argentina,6,Pergamino,1558
Achaleo,Argentina,10,El Alto,
Achango,Argentina,70,Iglesia,
Acheral,Argentina,90,Monteros,2093
Achiras,Argentina,14,Río Cuarto,2173
Aconquija,Argentina,10,Andalgalá,139
Acos,Argentina,86,Río Hondo,
Acosta,Argentina,66,Guachipas,
Acoyte,Argentina,66,Santa Victoria,111
Adela,Argentina,6,Chascomús,
Adelia María,Argentina,14,Río Cuarto,6434
Administración,Argentina,26,Escalante,
Adolfo Esteban Carranza,Argentina,10,Capayán,41
